1.001773486424228254e+00 8.954993062534410964e-01 1.025242723398429145e+00 1.037887546646642400e+00 5.492325968761837540e-01 9.285670273628301441e-01 9.568160583635795247e-01 1.018075745375690122e+00 8.184563179788794107e-01 7.946752402756618316e-01 1.003851594716203222e+00
9.954492219777432149e-01 1.028631821954587799e+00 1.074315046271703045e+00 1.097826541855978721e+00 1.109353732042863028e+00 9.269970668170379735e-01 1.035104970045986006e+00 1.073277815654773981e+00 1.067403138382027050e+00 1.149272182392629515e+00 1.004551394485061699e+00
9.904759778902506584e-01 1.075181358839806034e+00 1.055471173516549399e+00 9.516567669421786002e-01 9.853552181617201144e-01 9.936669297483761154e-01 1.097690330863012154e+00 8.990926929796572153e-01 8.734223093983182196e-01 9.840533554094939017e-01 1.006145445033428176e+00
9.923350295259367737e-01 1.180108537707414529e+00 1.043250961330107307e+00 1.022006142949008822e+00 1.165307180249351759e+00 9.678016535395427278e-01 1.064958351790454616e+00 9.900631582262883201e-01 1.037851686551080732e+00 1.236898989353482525e+00 9.898978386687155018e-01
1.011397889708772313e+00 9.677317574006522038e-01 9.840169105360538904e-01 9.034105547418534998e-01 1.081283818573721245e+00 1.012754839422000508e+00 9.802174742380551642e-01 8.760625290126179410e-01 1.016054372202511935e+00 7.512639515174136529e-01 1.013293439498643922e+00
1.009868968721575166e+00 1.099648376526760618e+00 1.058271740807798844e+00 1.106632989310730952e+00 1.056519449789392384e+00 1.101367129851009041e+00 9.348385256665544540e-01 9.222033133153011430e-01 1.485689981930035541e+00 1.165891360960737089e+00 1.002339268423306118e+00
1.000995699778153503e+00 1.304029579425049157e+00 1.073531643888244957e+00 1.113520431401364252e+00 1.013569272864546011e+00 1.071451723934346401e+00 9.428230003689543892e-01 1.076361147679071539e+00 9.823400909804682613e-01 8.563961828209436522e-01 9.927058850220825681e-01
9.982184382581408277e-01 1.148924515761867271e+00 1.110647519957109308e+00 1.222308777357850040e+00 1.234920626673205568e+00 9.867455819123299721e-01 8.769764396126921158e-01 9.863514354719438160e-01 6.636056604748796772e-01 1.209331321754882893e+00 9.908191818946812113e-01
9.962666167975283704e-01 1.174524524192093189e+00 1.052922274326026031e+00 8.075441266970760923e-01 6.696419490342542247e-01 9.229443105722117124e-01 1.075308548023952149e+00 1.101597628904734671e+00 1.246278946574695068e+00 9.381996976835935698e-01 9.956936230153581313e-01
9.943997793904183480e-01 1.212884202955357038e+00 1.018309791603880798e+00 1.069836997864717976e+00 6.912161986638096778e-01 1.058782302703458189e+00 1.035884914393151002e+00 8.852026350392765419e-01 1.004260590583036405e+00 9.427017855696464554e-01 1.008918211953905075e+00
